Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1964-03-01,1964,MAR,FMA 1964,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.543,-1.31,NAN,1.1
1964-04-01,1964,APR,MAM 1964,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.424,-1.30,NAN,1.1
1964-05-01,1964,MAY,AMJ 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.178,-2.27,NAN,0.2
1964-06-01,1964,JUN,MJJ 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.993,0.27,NAN,0.8
1964-07-01,1964,JUL,JJA 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.526,0.20,NAN,0.6
1964-08-01,1964,AUG,JAS 1964,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.019,0.83,NAN,1.5
1964-09-01,1964,SEP,ASO 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.473,0.92,NAN,1.3
1964-10-01,1964,OCT,SON 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.781,0.80,NAN,1.3
1964-11-01,1964,NOV,OND 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.909,-0.78,NAN,0.2
1964-12-01,1964,DEC,NDJ 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.879,-2.03,NAN,-0.3
